,ppl,ppl,dist,dist
"{'stepsize': 0.05, 'kl_scale': 0.07, 'grad_length': 4, 'gm_scale': 0.6}",71.59,116.96,0.89,0.07
"{'stepsize': 0.05, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.2}",75.72,109.43,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.1}",100.33,151.46,0.91,0.05
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 10, 'gm_scale': 0.2}",76.8,110.16,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 10, 'gm_scale': 0.3}",71.9,106.6,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 12, 'gm_scale': 0.2}",78.12,109.05,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 14, 'gm_scale': 0.1}",86.17,143.72,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 16, 'gm_scale': 0.8}",53.98,40.5,0.89,0.08
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 18, 'gm_scale': 0.6}",64.11,101.49,0.89,0.07
"{'stepsize': 0.05, 'kl_scale': 0.08, 'grad_length': 2, 'gm_scale': 0.4}",66.11,59.18,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.09, 'grad_length': 10, 'gm_scale': 0.4}",67.35,64.29,0.9,0.06
"{'stepsize': 0.05, 'kl_scale': 0.09, 'grad_length': 14, 'gm_scale': 0.4}",69.65,74.09,0.9,0.05
"{'stepsize': 0.05, 'kl_scale': 0.09, 'grad_length': 2, 'gm_scale': 0.8}",74.19,197.52,0.9,0.07
"{'stepsize': 0.05, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.1}",86.06,142.48,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 10, 'gm_scale': 0.5}",72.78,119.52,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 12, 'gm_scale': 0.2}",69.93,103.69,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 14, 'gm_scale': 0.3}",71.6,117.51,0.89,0.06
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 18, 'gm_scale': 0.5}",71.22,110.12,0.89,0.06
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 2, 'gm_scale': 0.1}",87.51,141.55,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.0, 'grad_length': 4, 'gm_scale': 0.2}",73.46,106.94,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.5}",83.47,180.13,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.9}",58.64,65.2,0.86,0.13
"{'stepsize': 0.06, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.6}",65.83,110.09,0.89,0.07
"{'stepsize': 0.06, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.8}",52.93,48.51,0.86,0.13
"{'stepsize': 0.06, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.03, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.03, 'grad_length': 10, 'gm_scale': 0.1}",87.55,144.07,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.03, 'grad_length': 16, 'gm_scale': 0.6}",62.44,101.05,0.89,0.07
"{'stepsize': 0.06, 'kl_scale': 0.03, 'grad_length': 8, 'gm_scale': 0.2}",71.99,105.05,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 10, 'gm_scale': 0.3}",64.31,64.9,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.3}",61.87,56.4,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.2}",72.98,107.5,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.6}",62.63,100.92,0.89,0.07
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.1}",88.41,144.28,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.5}",72.98,117.66,0.89,0.06
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 6, 'gm_scale': 0.4}",73.84,78.97,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.04, 'grad_length': 6, 'gm_scale': 0.7}",60.64,65.29,0.89,0.09
"{'stepsize': 0.06, 'kl_scale': 0.05, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.4}",68.04,68.59,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.06, 'grad_length': 0, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.06, 'grad_length': 6, 'gm_scale': 0.9}",63.05,73.53,0.88,0.1
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 12, 'gm_scale': 0.4}",70.19,75.24,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 14, 'gm_scale': 0.3}",66.18,62.22,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 16, 'gm_scale': 0.8}",54.46,48.07,0.87,0.11
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 2, 'gm_scale': 0.1}",87.6,141.55,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 2, 'gm_scale': 0.7}",62.11,49.7,0.89,0.07
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 4, 'gm_scale': 0.9}",61.01,52.16,0.89,0.07
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.1}",86.21,142.61,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.2}",73.98,108.12,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.08, 'grad_length': 18, 'gm_scale': 0.3}",63.84,54.51,0.9,0.06
"{'stepsize': 0.06, 'kl_scale': 0.09, 'grad_length': 0, 'gm_scale': 0.1}",100.33,151.46,0.91,0.05
"{'stepsize': 0.06, 'kl_scale': 0.09, 'grad_length': 12, 'gm_scale': 0.4}",70.46,76.97,0.9,0.05
"{'stepsize': 0.06, 'kl_scale': 0.09, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.0, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.0, 'grad_length': 0, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.0, 'grad_length': 10, 'gm_scale': 0.1}",76.95,111.07,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.0, 'grad_length': 12, 'gm_scale': 0.5}",64.45,101.33,0.89,0.08
"{'stepsize': 0.07, 'kl_scale': 0.0, 'grad_length': 8, 'gm_scale': 0.7}",58.88,73.47,0.87,0.12
"{'stepsize': 0.07, 'kl_scale': 0.01, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.01, 'grad_length': 0, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.01, 'grad_length': 12, 'gm_scale': 0.9}",60.37,81.74,0.84,0.16
"{'stepsize': 0.07, 'kl_scale': 0.02, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.7}",55.23,58.42,0.86,0.14
"{'stepsize': 0.07, 'kl_scale': 0.02, 'grad_length': 16, 'gm_scale': 0.9}",55.56,62.64,0.83,0.16
"{'stepsize': 0.07, 'kl_scale': 0.02, 'grad_length': 8, 'gm_scale': 0.1}",77.25,110.98,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.03, 'grad_length': 0, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.03, 'grad_length': 12, 'gm_scale': 0.3}",67.93,86.52,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.03, 'grad_length': 14, 'gm_scale': 0.4}",66.11,66.85,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.03, 'grad_length': 16, 'gm_scale': 0.6}",56.47,52.36,0.88,0.1
"{'stepsize': 0.07, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.4}",69.46,84.03,0.89,0.07
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 10, 'gm_scale': 0.9}",58.46,65.54,0.85,0.14
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.4}",67.06,68.44,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 2, 'gm_scale': 0.3}",65.77,60.47,0.9,0.05
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 8, 'gm_scale': 0.4}",67.64,66.82,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.04, 'grad_length': 8, 'gm_scale': 0.8}",57.88,65.96,0.87,0.12
"{'stepsize': 0.07, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.05, 'grad_length': 12, 'gm_scale': 0.5}",62.36,100.89,0.89,0.08
"{'stepsize': 0.07, 'kl_scale': 0.05, 'grad_length': 16, 'gm_scale': 0.4}",66.84,68.6,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.05, 'grad_length': 18, 'gm_scale': 0.5}",61.43,99.83,0.89,0.08
"{'stepsize': 0.07, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.7}",60.94,74.48,0.88,0.1
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 10, 'gm_scale': 0.5}",63.25,108.59,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 12, 'gm_scale': 0.3}",69.45,87.24,0.9,0.06
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 12, 'gm_scale': 0.5}",62.0,100.87,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 2, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 6, 'gm_scale': 0.5}",66.87,107.12,0.9,0.05
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 8, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.06, 'grad_length': 8, 'gm_scale': 0.7}",61.16,74.88,0.88,0.1
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 14, 'gm_scale': 0.5}",62.49,100.73,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 16, 'gm_scale': 0.6}",56.51,51.56,0.89,0.08
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 18, 'gm_scale': 0.3}",69.15,94.31,0.89,0.06
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 18, 'gm_scale': 0.7}",57.32,62.7,0.87,0.12
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 4, 'gm_scale': 0.4}",65.88,66.17,0.9,0.07
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.07, 'grad_length': 8, 'gm_scale': 0.9}",55.3,55.24,0.87,0.12
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.1}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 10, 'gm_scale': 0.2}",66.19,60.75,0.9,0.05
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 6, 'gm_scale': 0.4}",68.93,72.24,0.9,0.06
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 6, 'gm_scale': 0.6}",61.13,67.67,0.89,0.07
"{'stepsize': 0.07, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.09, 'grad_length': 18, 'gm_scale': 0.1}",81.39,114.35,0.91,0.05
"{'stepsize': 0.07, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.3}",73.73,97.92,0.9,0.06
"{'stepsize': 0.08, 'kl_scale': 0.0, 'grad_length': 12, 'gm_scale': 0.4}",59.97,49.2,0.89,0.06
"{'stepsize': 0.08, 'kl_scale': 0.0, 'grad_length': 12, 'gm_scale': 0.5}",64.79,103.59,0.89,0.08
"{'stepsize': 0.08, 'kl_scale': 0.0, 'grad_length': 16, 'gm_scale': 0.4}",59.68,49.21,0.89,0.06
"{'stepsize': 0.08, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.1}",75.48,107.81,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.2}",79.29,144.37,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.01, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.01, 'grad_length': 14, 'gm_scale': 0.6}",60.26,62.0,0.87,0.12
"{'stepsize': 0.08, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.5}",64.69,105.49,0.88,0.08
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 14, 'gm_scale': 0.3}",66.91,67.92,0.89,0.07
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 2, 'gm_scale': 0.2}",66.15,56.0,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.4}",71.81,83.38,0.9,0.06
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.5}",71.64,116.94,0.89,0.06
"{'stepsize': 0.08, 'kl_scale': 0.02, 'grad_length': 4, 'gm_scale': 0.9}",96.23,413.61,0.88,0.1
"{'stepsize': 0.08, 'kl_scale': 0.03, 'grad_length': 16, 'gm_scale': 0.3}",65.5,67.65,0.89,0.07
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 0, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 12, 'gm_scale': 0.7}",63.7,79.65,0.87,0.12
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.1}",78.5,113.47,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.8}",61.29,67.35,0.85,0.15
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.9}",89.59,417.3,0.83,0.16
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.6}",61.01,73.07,0.87,0.1
"{'stepsize': 0.08, 'kl_scale': 0.04, 'grad_length': 2, 'gm_scale': 0.8}",77.44,199.25,0.89,0.08
"{'stepsize': 0.08, 'kl_scale': 0.05, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.05, 'grad_length': 16, 'gm_scale': 0.4}",60.82,48.62,0.89,0.06
"{'stepsize': 0.08, 'kl_scale': 0.05, 'grad_length': 6, 'gm_scale': 0.3}",79.61,110.93,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.05, 'grad_length': 6, 'gm_scale': 0.7}",68.47,91.87,0.88,0.08
"{'stepsize': 0.08, 'kl_scale': 0.06, 'grad_length': 10, 'gm_scale': 0.4}",63.61,68.16,0.89,0.06
"{'stepsize': 0.08, 'kl_scale': 0.06, 'grad_length': 14, 'gm_scale': 0.6}",57.79,48.75,0.88,0.1
"{'stepsize': 0.08, 'kl_scale': 0.06, 'grad_length': 2, 'gm_scale': 0.4}",68.62,77.23,0.9,0.06
"{'stepsize': 0.08, 'kl_scale': 0.06, 'grad_length': 6, 'gm_scale': 0.9}",99.37,419.66,0.86,0.12
"{'stepsize': 0.08, 'kl_scale': 0.07, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.07, 'grad_length': 12, 'gm_scale': 0.4}",59.56,49.74,0.89,0.05
"{'stepsize': 0.08, 'kl_scale': 0.07, 'grad_length': 18, 'gm_scale': 0.7}",58.9,68.72,0.87,0.1
"{'stepsize': 0.08, 'kl_scale': 0.07, 'grad_length': 2, 'gm_scale': 0.7}",79.8,205.3,0.89,0.08
"{'stepsize': 0.08, 'kl_scale': 0.07, 'grad_length': 8, 'gm_scale': 0.1}",78.36,111.04,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.08, 'grad_length': 16, 'gm_scale': 0.5}",62.21,99.57,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.08, 'grad_length': 18, 'gm_scale': 0.5}",62.59,100.23,0.9,0.05
"{'stepsize': 0.08, 'kl_scale': 0.08, 'grad_length': 4, 'gm_scale': 0.2}",65.94,56.31,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.6}",62.06,77.79,0.89,0.09
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 0, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 12, 'gm_scale': 0.9}",92.54,418.59,0.86,0.13
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 14, 'gm_scale': 0.6}",60.07,52.25,0.89,0.08
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 4, 'gm_scale': 0.9}",96.0,413.28,0.89,0.09
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 6, 'gm_scale': 0.2}",65.04,55.94,0.91,0.04
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 6, 'gm_scale': 0.7}",67.04,86.17,0.89,0.07
"{'stepsize': 0.08, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.5}",69.51,108.94,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.0, 'grad_length': 0, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.0, 'grad_length': 10, 'gm_scale': 0.7}",58.11,69.66,0.85,0.14
"{'stepsize': 0.09, 'kl_scale': 0.0, 'grad_length': 14, 'gm_scale': 0.8}",77.28,211.33,0.82,0.16
"{'stepsize': 0.09, 'kl_scale': 0.0, 'grad_length': 2, 'gm_scale': 0.1}",82.26,112.17,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.1}",75.77,109.55,0.91,0.04
"{'stepsize': 0.09, 'kl_scale': 0.01, 'grad_length': 4, 'gm_scale': 0.7}",69.03,124.27,0.88,0.09
"{'stepsize': 0.09, 'kl_scale': 0.01, 'grad_length': 8, 'gm_scale': 0.6}",60.06,75.94,0.87,0.11
"{'stepsize': 0.09, 'kl_scale': 0.02, 'grad_length': 0, 'gm_scale': 0.1}",100.33,151.46,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.5}",62.09,84.65,0.88,0.08
"{'stepsize': 0.09, 'kl_scale': 0.02, 'grad_length': 18, 'gm_scale': 0.2}",69.29,85.2,0.9,0.06
"{'stepsize': 0.09, 'kl_scale': 0.02, 'grad_length': 8, 'gm_scale': 0.4}",63.85,61.06,0.89,0.06
"{'stepsize': 0.09, 'kl_scale': 0.03, 'grad_length': 0, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.03, 'grad_length': 18, 'gm_scale': 0.6}",62.12,73.15,0.86,0.12
"{'stepsize': 0.09, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.4}",67.92,72.85,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.03, 'grad_length': 6, 'gm_scale': 0.8}",93.26,414.66,0.86,0.12
"{'stepsize': 0.09, 'kl_scale': 0.03, 'grad_length': 8, 'gm_scale': 0.7}",62.45,99.05,0.87,0.13
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 0, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 0, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.2}",63.91,57.71,0.9,0.06
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 16, 'gm_scale': 0.8}",71.19,205.09,0.84,0.15
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 2, 'gm_scale': 0.1}",81.85,111.88,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.04, 'grad_length': 4, 'gm_scale': 0.8}",93.42,413.44,0.88,0.08
"{'stepsize': 0.09, 'kl_scale': 0.05, 'grad_length': 10, 'gm_scale': 0.1}",74.32,106.82,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.05, 'grad_length': 14, 'gm_scale': 0.6}",62.79,71.44,0.87,0.1
"{'stepsize': 0.09, 'kl_scale': 0.05, 'grad_length': 2, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.06, 'grad_length': 10, 'gm_scale': 0.7}",57.76,70.56,0.87,0.1
"{'stepsize': 0.09, 'kl_scale': 0.06, 'grad_length': 16, 'gm_scale': 0.2}",63.36,55.12,0.9,0.06
"{'stepsize': 0.09, 'kl_scale': 0.06, 'grad_length': 2, 'gm_scale': 0.3}",69.91,67.34,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.07, 'grad_length': 10, 'gm_scale': 0.2}",66.48,57.74,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.07, 'grad_length': 14, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.07, 'grad_length': 6, 'gm_scale': 0.4}",73.1,77.03,0.9,0.05
"{'stepsize': 0.09, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.08, 'grad_length': 0, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.09, 'kl_scale': 0.09, 'grad_length': 12, 'gm_scale': 0.6}",58.27,55.93,0.88,0.1
"{'stepsize': 0.09, 'kl_scale': 0.09, 'grad_length': 8, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
